LONC_CODE,DTA_DESC
15370-0,Morphine Mec-mCnc - Morphine [Mass/volume] in Meconium
13589-7,aPCR Bld Ql NAA+probe - Activated protein C resistance [Presence] in Blood by NAA with probe detection
48047-5,Hemoccult Vom Ql - Hemoglobin.gastrointestinal [Presence] in Vomitus
7879-0,Ehrlichia Ab Ser Ql - Ehrlichia sp Ab [Presence] in Serum
32172-9,E chaffeensis Ab Ser Ql - Ehrlichia chaffeensis Ab [Presence] in Serum
45167-4,IgE Spec-mCnc - IgE [Mass/volume] in Specimen
85369-7,Neutrophils # Cont Bld FC - Neutrophils [#/volume] in Control Blood by Flow cytometry (FC)
85374-7,Neut.PMA stim.DHR MFI Bld FC - Neutrophil.PMA stimulated.DHR mean fluorescence instensity in Blood by Flow cytometry (FC)
85375-4,Neut.PMA stim.DHR MFI Cont Bld FC - Neutrophil.PMA stimulated.DHR mean fluorescence instensity in Control Blood by Flow cytometry (FC)
85376-2,Neut PMA DHR/Neut PMA NFr Bld FC - Neutrophil.PMA stimulated.DHR/Neutrophil.PMA stimulated.total in Blood by Flow cytometry (FC)
85377-0,Neut PMA DHR/Neut PMA NFr Cont Bld FC - Neutrophil.PMA stimulated.DHR/Neutrophil.PMA stimulated.total in Control Blood by Flow cytometry (FC)
69965-2,Clinical cytogeneticist review - Clinical cytogeneticist review of results
30452-7,Neuts Seg # Fld - Segmented neutrophils [#/volume] in Body fluid
1165-0,little e Ag RBC Ql - little e Ag [Presence] on Red Blood Cells
50195-7,t(9;22)(ABL1,BCR)/control Bld/T-LnRto - t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript/control transcript [Log Number Ratio] in Blood or Tissue by Molecular genetics method
5640-8,Ethanol Bld-mCnc - Ethanol [Mass/volume] in Blood
14582-1,Acetone SerPl-sCnc - Acetone [Moles/volume] in Serum or Plasma
45371-2,Multiple Pregnancy - Multiple pregnancy
578-5,Fungus Tiss Cult - Fungus identified in Tissue by Culture
95269-7,HLA-A+B+C Ab SerPl Ql IA - HLA-A+B+C (class I) Ab [Presence] in Serum or Plasma by Immunoassay
92568-5,Chorion type - Fetal Chorion [Type]
6765-2,17OH-Preg SerPl-mCnc - 17-Hydroxypregnenolone [Mass/volume] in Serum or Plasma
62359-5,Chrom banding method - Chromosome banding method -
1313-6,Rh Ig Vials Recom Patient - Rh immune globulin dosage.vials recommended [#]
2254-1,Estrogen SerPl-mCnc - Estrogen [Mass/volume] in Serum or Plasma
2312-7,Gal1PO4 RBC-mCnc - Galactose 1 phosphate [Mass/volume] in Red Blood Cells
562-9,C diff Stl Ql Cult - Clostridioides difficile [Presence] in Stool by Organism specific culture
90080-3,Bictegravir Islt Genotyp - Bictegravir [Susceptibility] by Genotype method
75512-4,Mixing dRVVT/normal - dRVVT with 1:1 PNP actual/normal (normalized LA mix)
11565-9,ENA Jo1 Ab Ser-aCnc - Jo-1 extractable nuclear Ab [Units/volume] in Serum
21694-5,HFE gene Mut Anl Bld/T - HFE gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
13986-5,Albumin 24h MFr Ur Elph - Albumin/Protein.total in 24 hour Urine by Electrophoresis
43709-5,ALP Intest+renal SerPl Ql - Alkaline phosphatase.intestinal+renal [Presence] in Serum or Plasma
38875-1,INR PPP/Bld - INR in Platelet poor plasma or blood by Coagulation assay
26517-3,Polys/leuk NFr CSF - Polymorphonuclear cells/100 leukocytes in Cerebral spinal fluid
975-3,D Ab SerPl Ql - D Ab [Presence] in Serum or Plasma
5077-3,Centromere Ab Titr Ser IF - Centromere Ab [Titer] in Serum by Immunofluorescence
35399-5,VZV DNA Eye Ql NAA+probe - Varicella zoster virus DNA [Presence] in Eye by NAA with probe detection
11281-3,Auer Bodies Bld Ql Smear - Auer rods [Presence] in Blood by Light microscopy
3435-5,CarboxyTHC Ur Ql - Carboxy tetrahydrocannabinol [Presence] in Urine
9598-4,B burgdor23kD IgM Ser Ql IB - Borrelia burgdorferi 23kD IgM Ab [Presence] in Serum by Immunoblot
9599-2,B burgdor39kD IgM Ser Ql IB - Borrelia burgdorferi 39kD IgM Ab [Presence] in Serum by Immunoblot
9587-7,B burgdor41kD IgM Ser Ql IB - Borrelia burgdorferi 41kD IgM Ab [Presence] in Serum by Immunoblot
33978-8,BKV DNA Ur Ql NAA+probe - BK virus DNA [Presence] in Urine by NAA with probe detection
15046-6,Creatine Ur-sCnc - Creatine [Moles/volume] in Urine
13484-1,Creatine/Creat Ur - Creatine/Creatinine [Mass Ratio] in Urine
49524-2,FLUAV H3 RNA Spec Ql NAA+probe - Influenza virus A H3 RNA [Presence] in Specimen by NAA with probe detection
32023-4,IGF-I Bld-mCnc - Insulin-like growth factor-I [Mass/volume] in Blood
14361-0,Gram Stn Vag - Microscopic observation [Identifier] in Vaginal fluid by Gram stain
14363-6,Gram Stn Snv - Microscopic observation [Identifier] in Synovial fluid by Gram stain
31843-6,H pylori Ag Stl Ql - Helicobacter pylori Ag [Presence] in Stool
3313-4,Alpraz Ur-mCnc - ALPRAZolam [Mass/volume] in Urine
14278-6,p-ANCA Titr Ser IF - Neutrophil cytoplasmic Ab.perinuclear [Titer] in Serum by Immunofluorescence
16230-5,Desalkylfluraz Ur Cfm-mCnc - N-desalkylflurazepam [Mass/volume] in Urine by Confirmatory method
48726-4,JAK2 gene Mut Anl Bld/T - JAK2 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method
48672-0,Clinical cytogeneticist Spec - Clinical cytogeneticist [Identifier] in Specimen
49340-3,HAdV DNA # Spec NAA+probe - Adenovirus DNA [#/volume] (viral load) in Specimen by NAA with probe detection
51437-2,M Protein 2 Ur Elph-mCnc - Protein.monoclonal band 2 [Mass/volume] in Urine by Electrophoresis
53320-8,Casts Ur Ql Auto - Casts [Presence] in Urine by Automated
51440-6,M Protein 3 Ur Elph-mCnc - Protein.monoclonal band 3 [Mass/volume] in Urine by Electrophoresis
14277-8,c-ANCA Titr Ser IF - Neutrophil cytoplasmic Ab.classic [Titer] in Serum by Immunofluorescence
19635-2,Norpropoxyph Ur-mCnc - Norpropoxyphene [Mass/volume] in Urine
19370-6,Butabarbital Ur-mCnc - Butabarbital [Mass/volume] in Urine
11040-3,Cortis F Ur-mCnc - Cortisol Free [Mass/volume] in Urine
51775-5,Chromatin Ab SerPl-aCnc - Chromatin Ab [Units/volume] in Serum or Plasma
49503-6,p-ANCA atypical Titr Ser IF - Neutrophil cytoplasmic Ab.perinuclear.atypical [Titer] in Serum by Immunofluorescence
5819-8,Waxy Casts #/area UrnS LPF - Waxy casts [#/area] in Urine sediment by Microscopy low power field
38186-3,B-Globulin 24h Ur Elph-mCnc - Beta globulin [Mass/volume] in 24 hour Urine by Electrophoresis
38995-7,Mixed Cell Casts #/area UrnS LPF - Mixed cellular casts [#/area] in Urine sediment by Microscopy low power field
58409-4,Other cells/leuk NFr Bld Auto - Other cells/100 leukocytes in Blood by Automated count
52130-2,t(ABL1,BCR)b2a2/control Bld/T - t(9;22)(q34.1;q11)(ABL1,BCR) b2a2 fusion transcript/control transcript [# Ratio] in Blood or Tissue by Molecular genetics method
52131-0,t(ABL1,BCR)b3a2/control Bld/T - t(9;22)(q34.1;q11)(ABL1,BCR) b3a2 fusion transcript/control transcript [# Ratio] in Blood or Tissue by Molecular genetics method
51760-7,E chaffeensis IgG+IgM SerPl Ql - Ehrlichia chaffeensis IgG+IgM Ab [Presence] in Serum or Plasma
53772-0,B-Globulin Ur Ql Elph - Beta globulin [Presence] in Urine by Electrophoresis
34661-9,Actin IgG SerPl-aCnc - Actin IgG Ab [Units/volume] in Serum or Plasma
9780-8,Sperm # Smn - Spermatozoa [#/volume] in Semen
3188-0,Fact IX PPP Chro-aCnc - Coagulation factor IX activity [Units/volume] in Platelet poor plasma by Chromogenic method
1868-9,AT III Ag PPP IA-mCnc - Antithrombin Ag [Mass/volume] in Platelet poor plasma by Immunoassay
2669-0,Normetanephrine SerPl-mCnc - Normetanephrine [Mass/volume] in Serum or Plasma
50398-7,Narrative diagnostic report-Imp - Narrative diagnostic report [Interpretation]
6478-2,MuV IgM Ser Ql IA - Mumps virus IgM Ab [Presence] in Serum by Immunoassay
1883-8,Apo A SerPl-mCnc - Apolipoprotein A [Mass/volume] in Serum or Plasma
30382-6,Eosinophil/leuk NFr Stl - Eosinophils/100 leukocytes in Stool
32672-8,CA SerPl Ql - Cold agglutinin [Presence] in Serum or Plasma
1507-3,Glucose 1h p 75 g Glc PO SerPl-mCnc - Glucose [Mass/volume] in Serum or Plasma --1 hour post 75 g glucose PO
62360-3,Cells analyzed - Cells analyzed [#]
62361-1,Cells counted - Cells counted [#]
5129-2,DNAse Ab Ser-aCnc - Deoxyribonuclease Ab [Units/volume] in Serum
9632-1,A fumigatus Ab Ser Ql - Aspergillus fumigatus Ab [Presence] in Serum
1069-4,Jk sup(a) Ab SerPl Ql - Jk sup(a) Ab [Presence] in Serum or Plasma
33194-2,Viable cells NFr Spec - Viable cells/100 cells in Specimen
53713-4,PCA-1 Ab Titr CSF - PCA-1 Ab [Titer] in Cerebral spinal fluid
61367-9,C diff DNA Spec Ql NAA+probe - Clostridioides difficile DNA [Presence] in Specimen by NAA with probe detection
75513-2,Mixing dRVVT - dRVVT with 1:1 PNP (LA mix)
88992-3,Ustekinumab Ab SerPl IA-mCnc - Ustekinumab Ab [Mass/volume] in Serum or Plasma by Immunoassay
59626-2,cloBAZam Bld-mCnc - cloBAZam [Mass/volume] in Blood
56731-3,ENA Jo1 Ab Ser Ql IB - Jo-1 extractable nuclear Ab [Presence] in Serum by Immunoblot
36899-3,Arbovirus Ab Spec - Arbovirus Ab [Identifier] in Specimen
14637-3,Calcium 24h Ur-sRate - Calcium [Moles/time] in 24 hour Urine
16254-5,PCP Ur Cfm-mCnc - Phencyclidine [Mass/volume] in Urine by Confirmatory method
33673-5,TT imm SO4 PPP - Thrombin time.factor substitution in Platelet poor plasma by Coagulation assay --immediately after addition of protamine sulfate
56744-6,PL7 Ab Ser Ql IB - PL-7 Ab [Presence] in Serum by Immunoblot
56745-3,PL12 Ab Ser Ql IB - PL-12 Ab [Presence] in Serum by Immunoblot
63559-9,SRP Ab SerPl Ql IB - Signal Recognition Particle (SRP) Ab [Presence] in Serum or Plasma by Immunoblot
69557-7,OJ Ab Ser Ql IB - OJ Ab [Presence] in Serum by Immunoblot
34660-1,Hgb A2 MFr Bld Column Chrom - Hemoglobin A2/Hemoglobin.total in Blood by Chromatography column
1156-9,little c Ab SerPl Ql - little c Ab [Presence] in Serum or Plasma
58087-8,Deprecated Other Ab SerPl Ql Cold Abs - Deprecated Not otherwise specified Ab [Presence] in Serum or Plasma by Cold absorption
88725-7,MDA5 Ab Ser Line blot-aCnc - MDA5 Ab [Units/volume] in Serum by Line blot
32367-5,Bacteria Islt Aerobe Cult - Bacteria identified in Isolate by Aerobe culture
38415-6,MTHFR gene Mut Anl Bld/T - MTHFR gene targeted mutation analysis in Blood or Tissue by Molecular genetics method
46994-0,HLA-A+B+C Ab NFr Ser - HLA-A+B+C (class I) Ab in Serum
53834-8,cycloSPORINE Peak Bld-mCnc - cycloSPORINE [Mass/volume] in Blood --peak
2416-6,Histamine SerPl-mCnc - Histamine [Mass/volume] in Serum or Plasma
18955-5,Nitrofurantoin Susc Islt - Nitrofurantoin [Susceptibility]
1389-6,Cortis F 1D p 40 ug ACTH IM 24h Ur-mCnc - Cortisol Free [Mass/volume] in 24 hour Urine --24 hours post 40 ug corticotropin IM BID 3 day
74116-5,Adalimumab Ab SerPl-mCnc - Adalimumab Ab [Mass/volume] in Serum or Plasma
6287-7,Baker's yeast IgE Qn - Baker's yeast IgE Ab [Units/volume] in Serum
21656-4,CFTR Mut Tested Bld/T - CFTR gene mutations tested for in Blood or Tissue by Molecular genetics method Nominal
14978-1,cycloSPORINE Bld IA-mCnc - cycloSPORINE [Mass/volume] in Blood by Immunoassay
5194-6,HBV surface Ab Ser RIA-aCnc - Hepatitis B virus surface Ab [Units/volume] in Serum by Radioimmunoassay (RIA)
49521-8,FLUAV H1 RNA Spec Ql NAA+probe - Influenza virus A H1 RNA [Presence] in Specimen by NAA with probe detection
6743-9,WBC # Fld Manual - Leukocytes [#/volume] in Body fluid by Manual count
88732-3,Mi-2 alpha Ab Ser Line blot-aCnc - Mi-2 alpha Ab [Units/volume] in Serum by Line blot
88733-1,Mi-2 beta Ab Ser Line blot-aCnc - Mi-2 beta Ab [Units/volume] in Serum by Line blot
75975-3,Fet Chr 13+18+21 Ts Plas.cfDNA Ql - Fetal Chromosome 13+18+21 trisomy [Presence] based on Plasma cell-free DNA by Dosage of chromosome-specific cfDNA
3925-5,Pentobarb Ur Ql - PENTobarbital [Presence] in Urine
21503-8,MeV IgM Ser Ql - Measles virus IgM Ab [Presence] in Serum
19448-0,DHC Ur Cfm-mCnc - Dihydrocodeine [Mass/volume] in Urine by Confirmatory method
72174-6,RV Ag Stl Ql IA.rapid - Rotavirus Ag [Presence] in Stool by Rapid immunoassay
18928-2,Gentamicin Susc Islt - Gentamicin [Susceptibility]
18906-8,Ciprofloxacin Susc Islt - Ciprofloxacin [Susceptibility]
20629-2,levoFLOXacin Susc Islt - levoFLOXacin [Susceptibility]
44728-4,HLA-DQA1 Ql - HLA-DQA1 [Presence]
43291-4,HLA-DQB1 Ql - HLA-DQB1 [Presence]
29363-9,Cortis 1.5h p chal SerPl-mCnc - Cortisol [Mass/volume] in Serum or Plasma --1.5 hours post XXX challenge
27882-0,Proinsulin SerPl-sCnc - Proinsulin [Moles/volume] in Serum or Plasma
27212-0,DOPamine 24h Ur-mCnc - DOPamine [Mass/volume] in 24 hour Urine
945-6,C Ab SerPl Ql - C Ab [Presence] in Serum or Plasma
9571-1,B19V DNA Spec Ql NAA+probe - Parvovirus B19 DNA [Presence] in Specimen by NAA with probe detection
69011-5,Cocaethylene Mec Cfm-mCnt - Cocaethylene [Mass/mass] in Meconium by Confirmatory method
58442-5,Other elements UrnS Micro - Other elements [Identifier] in Urine sediment by Light microscopy
90894-7,Noroxymorphone Ur Cfm-mCnc - Noroxymorphone [Mass/volume] in Urine by Confirmatory method
30469-1,Unspecified Cells/leuk NFr Fld - Unspecified cells/100 leukocytes in Body fluid
43201-3,BKV DNA Spec NAA+probe-Log# - BK virus DNA [Log #/volume] (viral load) in Specimen by NAA with probe detection
15015-1,ALP Liver CFr SerPl - Alkaline phosphatase.liver/Alkaline phosphatase.total in Serum or Plasma
11473-6,Cryptoc Ag Titr Spec - Cryptococcus sp Ag [Titer] in Specimen
21821-4,t(9;22)(ABL1,BCR) Bld/T Ql - t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method
41270-0,Drugs Ur - Drugs identified in Urine
27221-1,Norepineph 24h Ur-mCnc - Norepinephrine [Mass/volume] in 24 hour Urine
31990-5,14-3-3 Ag CSF-aCnc - 14-3-3 Ag [Units/volume] in Cerebral spinal fluid
5785-1,Eosinophil #/area UrnS HPF - Eosinophils [#/area] in Urine sediment by Microscopy high power field
59215-4,Thymidine/Creat Ur-sRto - Thymidine/Creatinine [Molar ratio] in Urine
55141-6,Fc epsilon RI + RII Ab Ser-aCnc - Fc epsilon RI + RII Ab [Units/volume] in Serum
4680-5,vWf:RCo PPP-aCnc - von Willebrand factor (vWf) ristocetin cofactor [Units/volume] in Platelet poor plasma
18998-5,TMP SMX Susc Islt - Trimethoprim+Sulfamethoxazole [Susceptibility]
12839-7,Prostaglandin D2 SerPl-mCnc - Prostaglandin D2 [Mass/volume] in Serum or Plasma
16111-7,Epineph+Nor 24h Ur-mRate - Epinephrine+Norepinephrine [Mass/time] in 24 hour Urine
3123-7,VMA/Creatine Ur - Vanillylmandelate/Creatine [Mass Ratio] in Urine
42327-7,WBC Stl Ql MB Stn - Leukocytes [Presence] in Stool by Methylene blue stain
14122-6,Pyruvate CSF-sCnc - Pyruvate [Moles/volume] in Cerebral spinal fluid
50401-9,Bld gp Ab titered SerPl - Blood group antibody titered [Identifier] in Serum or Plasma
69010-7,BZE Mec Cfm-mCnt - Benzoylecgonine [Mass/mass] in Meconium by Confirmatory method
74096-9,Tacrolimus Bld IA-mCnc - Tacrolimus [Mass/volume] in Blood by Immunoassay
7248-8,Cultivated Corn IgE Qn - Cultivated Corn IgE Ab [Units/volume] in Serum
54309-0,Lactate/Pyruvate CSF-sRto - Lactate/Pyruvate [Molar ratio] in Cerebral spinal fluid
15773-5,Pecan/Hick Nut IgE RAST Ql - Pecan or Hickory Nut IgE Ab RAST class [Presence] in Serum
32070-5,Ethanol Spec-sCnc - Ethanol [Moles/volume] in Specimen
27941-4,Lactate CSF-mCnc - Lactate [Mass/volume] in Cerebral spinal fluid
7332-0,Gelatin IgE Qn - Gelatin IgE Ab [Units/volume] in Serum
29595-6,AFP MoM Amn - Alpha-1-Fetoprotein [Multiple of the median] in Amniotic fluid
32318-8,Glucose Spec-sCnc - Glucose [Moles/volume] in Specimen
44097-4,Unident Cells/leuk NFr Bld - Unidentified cells/100 leukocytes in Blood
13994-9,B-Globulin MFr Ur Elph - Beta globulin/Protein.total in Urine by Electrophoresis
18864-9,Ampicillin Susc Islt - Ampicillin [Susceptibility]
2056-0,Catechols Plas-mCnc - Catecholamines [Mass/volume] in Plasma
1990-1,Vitamin D3 SerPl-mCnc - Cholecalciferol (Vit D3) [Mass/volume] in Serum or Plasma
3830-7,Morphine Ur Ql - Morphine [Presence] in Urine
30359-4,Histone Ab Ser-aCnc - Histone Ab [Units/volume] in Serum
33654-5,IGF BP3 1h p chal SerPl-mCnc - Insulin-like growth factor binding protein 3 [Mass/volume] in Serum or Plasma --1 hour post XXX challenge
18932-4,Imipenem Susc Islt - Imipenem [Susceptibility]
18996-9,Tobramycin Susc Islt - Tobramycin [Susceptibility]
1231-0,M Ag RBC Ql - M Ag [Presence] on Red Blood Cells
1072-8,Jk sup(a) Ag RBC Ql - Jk sup(a) Ag [Presence] on Red Blood Cells
18879-7,Cefepime Susc Islt - Cefepime [Susceptibility]
18970-4,Pip+Tazo Susc Islt - Piperacillin+Tazobactam [Susceptibility]
32314-7,Cortis 1.5h p chal SerPl-sCnc - Cortisol [Moles/volume] in Serum or Plasma --1.5 hours post XXX challenge
41274-2,AFP Interp SerPl-Imp - Alpha-1-Fetoprotein interpretation in Serum or Plasma
7474-0,Mackerel IgE Qn - Mackerel IgE Ab [Units/volume] in Serum
69380-4,t(ABL1,BCR)p210/Control (IS) Bld/T - t(9;22)(q34.1;q11)(ABL1,BCR) b2a2+b3a2 fusion transcript/control transcript (International Scale) [# Ratio] in Blood or Tissue by Molecular genetics method
64038-3,HAdV DNA Spec NAA+probe-Log# - Adenovirus DNA [Log #/volume] (viral load) in Specimen by NAA with probe detection
5098-9,CA Titr SerPl Aggl - Cold agglutinin [Titer] in Serum or Plasma by Agglutination
50014-0,t(9;22)(ABL1,BCR) Bld/T - t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript in Blood or Tissue by Molecular genetics method
21822-2,t(9;22)(ABL1,BCR) Major Bld/T Ql - t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript major break points [Presence] in Blood or Tissue by Molecular genetics method
22283-6,E chaffeensis IgG Ser Ql - Ehrlichia chaffeensis IgG Ab [Presence] in Serum
42588-4,B parapert DNA Nph Ql NAA+probe - Bordetella parapertussis DNA [Presence] in Nasopharynx by NAA with probe detection
30322-2,aPTT 1h p Inc PPP - aPTT.factor substitution in Platelet poor plasma --1 hour post incubation
53892-6,Ribosomal P IgG Ser-aCnc - Ribosomal P IgG Ab [Units/volume] in Serum
56180-3,A fumigatus IgG4-mCnc - Aspergillus fumigatus IgG4 Ab [Mass/volume] in Serum
35802-8,Ertapenem Susc Islt - Ertapenem [Susceptibility]
18895-3,cefTRIAXone Susc Islt - cefTRIAXone [Susceptibility]
18878-9,ceFAZolin Susc Islt - ceFAZolin [Susceptibility]
11561-8,AChR Block Ab Ser-aCnc - Acetylcholine receptor blocking Ab [Units/volume] in Serum
15586-1,Brazil Nut IgE RAST Ql - Brazil Nut IgE Ab RAST class [Presence] in Serum
18862-3,Amoxicillin+Clav Susc Islt - Amoxicillin+Clavulanate [Susceptibility]
21557-4,THC Ur Ql Scn>100 ng/mL - Tetrahydrocannabinol [Presence] in Urine by Screen method >100 ng/mL
56728-9,T vulgaris IgE Qn - Thermoactinomyces vulgaris IgE Ab [Units/volume] in Serum
5904-8,RVV time PPP - Russell viper venom time in Platelet poor plasma by Coagulation assay
48819-7,Karyotyp Tiss Fetus - Karyotype [Identifier] in Tissue from Fetus Nominal
90779-0,Adalimumab Ab Ser IA-aCnc - Adalimumab Ab [Units/volume] in Serum by Immunoassay
79713-4,TPMT gene prod met act imp Bld/T-Imp - TPMT gene product metabolic activity interpretation in Blood or Tissue Qualitative by Molecular genetics method
5585-5,Arsenic SerPl-mCnc - Arsenic [Mass/volume] in Serum or Plasma
1024-9,Fy sup(a) Ab SerPl Ql - Fy sup(a) Ab [Presence] in Serum or Plasma
33203-1,AL beta42 CSF-mCnc - Amyloid beta 42 peptide [Mass/volume] in Cerebral spinal fluid
2729-2,PTH Related Prot SerPl-mCnc - Parathyrin related protein [Mass/volume] in Serum or Plasma
1027-2,Fy sup(a) Ag RBC Ql - Fy sup(a) Ag [Presence] on Red Blood Cells
21129-2,Cadmium SerPl-mCnc - Cadmium [Mass/volume] in Serum or Plasma
22295-0,EBV EA IgG Ser Ql - Epstein Barr virus early IgG Ab [Presence] in Serum
12615-1,Glucose sp1 p chal SerPl-mCnc - Glucose [Mass/volume] in Serum or Plasma --1st specimen post XXX challenge
48407-1,PAPP-A SerPl-mCnc - Pregnancy associated plasma protein A [Mass/volume] in Serum or Plasma
5232-4,Insulin Ab Ser RIA-aCnc - Insulin Ab [Units/volume] in Serum by Radioimmunoassay (RIA)
12616-9,Glucose sp2 p chal SerPl-mCnc - Glucose [Mass/volume] in Serum or Plasma --2nd specimen post XXX challenge
12617-7,Glucose sp3 p chal SerPl-mCnc - Glucose [Mass/volume] in Serum or Plasma --3rd specimen post XXX challenge
3273-0,UFH PPP clot-aCnc - Heparin unfractionated [Units/volume] in Platelet poor plasma by Coagulation assay
29990-9,Sperm p vas Smn Ql Micro - Spermatozoa [Presence] in Semen by Light microscopy --post vasectomy
35087-6,Amino acids Pnl Ur - Amino acids panel - Urine
15949-1,Pistachio IgE RAST Ql - Pistachio IgE Ab RAST class [Presence] in Serum
15643-0,Clam IgE RAST Ql - Clam IgE Ab RAST class [Presence] in Serum
13989-9,Gamma glob 24h MFr Ur Elph - Gamma globulin/Protein.total in 24 hour Urine by Electrophoresis
13987-3,Alpha2 Glob 24h MFr Ur Elph - Alpha 2 globulin/Protein.total in 24 hour Urine by Electrophoresis
42248-5,Hgb Other MFr Bld HPLC - Hemoglobin.other/Hemoglobin.total in Blood by HPLC
47223-3,Fet Ts 18 risk from Mat age - Fetal Trisomy 18 risk [Likelihood] Based on maternal age
42484-6,M Protein 24h MFr Ur Elph - Protein.monoclonal/Protein.total in 24 hour Urine by Electrophoresis
32166-1,HCG adj MoM SerPl - Choriogonadotropin [Multiple of the median] adjusted in Serum or Plasma
1228-6,M Ab SerPl Ql - M Ab [Presence] in Serum or Plasma
21376-9,Macadamia IgE RAST Ql - Macadamia IgE Ab RAST class [Presence] in Serum
18865-6,Ampicillin+Sulbac Susc Islt - Ampicillin+Sulbactam [Susceptibility]
55199-4,Cells karyotyped.total Bld/T - Cells karyotyped.total [#] in Blood or Tissue
62358-7,ISCN band level Ql - ISCN band level [#] Qualitative
40673-6,TSH BII Ser-aCnc - Thyrotropin binding inhibitory immunoglobulins [Units/volume] in Serum
26043-0,HLA-B27 Ql NAA+probe - HLA-B27 [Presence] by NAA with probe detection
15691-9,Egg Yolk IgE RAST Ql - Egg yolk IgE Ab RAST class [Presence] in Serum
4935-3,HLA-DQ2 Ql - HLA-DQ2 [Presence]
32999-5,Rick SF IgG Ser Ql - Rickettsia spotted fever group IgG Ab [Presence] in Serum
33000-1,Rick SF IgM Ser Ql - Rickettsia spotted fever group IgM Ab [Presence] in Serum
32760-1,Cell type Spec - Cell type in Specimen
3528-7,THC SerPl-mCnc - Tetrahydrocannabinol [Mass/volume] in Serum or Plasma
23878-2,A phagocytoph IgM Titr Ser IF - Anaplasma phagocytophilum IgM Ab [Titer] in Serum by Immunofluorescence
19074-4,Carn esters SerPl-sCnc - Carnitine esters [Moles/volume] in Serum or Plasma
5246-4,S rectivirgula Ab Ser-aCnc - Saccharopolyspora rectivirgula Ab [Units/volume] in Serum
85318-4,Her2 Br ca spec Ql FISH - HER2 [Presence] in Breast cancer specimen by FISH
88170-6,Gram Stn Corn/Cnjt - Microscopic observation [Identifier] in Cornea or Conjunctiva by Gram stain
2895-1,ZPP RBC-mCnc - Protoporphyrin.zinc [Mass/volume] in Red Blood Cells
8265-1,Service Cmnt 04-Imp - Service comment 04
74661-0,Peth Bld-mCnc - Phosphatidylethanol [Mass/volume] in Blood
6464-2,Gram Stn Cvx - Microscopic observation [Identifier] in Cervix by Gram stain
93716-9,F tular IgM Ser Ql IA - Francisella tularensis IgM Ab [Presence] in Serum by Immunoassay
93717-7,F tular IgG Ser Ql IA - Francisella tularensis IgG Ab [Presence] in Serum by Immunoassay
93718-5,F tular IgG+IgM Ser-Imp - Francisella tularensis IgG and IgM [Interpretation] in Serum
15653-9,Corn IgE RAST Ql - Corn IgE Ab RAST class [Presence] in Serum
46274-7,DAT Poly-Sp Reag p transf rx RBC Ql - Direct antiglobulin test.poly specific reagent [Presence] on Red Blood Cells --after transfusion reaction
15937-6,Rough Pigweed IgE RAST Ql - Rough Pigweed IgE Ab RAST class [Presence] in Serum
957-1,Cw Ab SerPl Ql - Cw Ab [Presence] in Serum or Plasma
8266-9,Service Cmnt 05-Imp - Service comment 05
70165-6,T vaginalis rRNA Vag Ql NAA+probe - Trichomonas vaginalis rRNA [Presence] in Vaginal fluid by NAA with probe detection
56718-0,Islet Cell512 Ab Ser IA-aCnc - Islet cell 512 Ab [Units/volume] in Serum by Immunoassay
15956-6,Pork IgE RAST Ql - Pork IgE Ab RAST class [Presence] in Serum
15016-9,ALP Plac CFr SerPl - Alkaline phosphatase.placental/Alkaline phosphatase.total in Serum or Plasma
46268-9,ABO + Rh p transf rx Bld BPU - ABO and Rh group [Type] in Blood from Blood product unit--after transfusion reaction
4531-0,Total Hem Comp Bld-aCnc - Complement total hemolytic [Units/volume] in Blood
33984-6,Fact X Act/Nor PPP Chro - Coagulation factor X activity actual/normal in Platelet poor plasma by Chromogenic method
63370-1,Gamma tocopherol SerPl-mCnc - Gamma tocopherol [Mass/volume] in Serum or Plasma
15800-6,Juniper IgE RAST Ql - Juniper IgE Ab RAST class [Presence] in Serum
1320-1,S Ag RBC Ql - S Ag [Presence] on Red Blood Cells
1078-5,Jk sup(b) Ag RBC Ql - Jk sup(b) Ag [Presence] on Red Blood Cells
25587-7,CgA SerPl-sCnc - Chromogranin A [Moles/volume] in Serum or Plasma
40466-5,HSV1 IgM Ser Ql IF - Herpes simplex virus 1 IgM Ab [Presence] in Serum by Immunofluorescence
3967-7,Phenytoin SerPl Ql - Phenytoin [Presence] in Serum or Plasma
45210-2,HSV2 IgM Ser Ql IF - Herpes simplex virus 2 IgM Ab [Presence] in Serum by Immunofluorescence
14683-7,Creat Ur-sCnc - Creatinine [Moles/volume] in Urine
96481-7,IgLON5 IgG CSF Ql CBA IFA - IgLON5 IgG Ab [Presence] in Cerebral spinal fluid by Cell binding immunofluorescent assay
63304-0,PCA Ab Titr Gast IF - Parietal cell Ab [Titer] in Gastric fluid by Immunofluorescence
1270-8,Unident Ab SerPl Ql - Unidentified Ab [Presence] in Serum or Plasma
